Dist, px;Temp, gray values;;;;;;GV;Temp
314,00;99,96;65,82;;;;;;
315,00;99,22;65,42;;;;;;
316,00;99,73;65,69;;;;;;
317,00;100,53;66,13;;;;;;
318,00;100,66;66,20;;;;;;
319,00;101,23;66,51;;;;;;
320,00;100,30;66,00;;;;;;
321,00;98,85;65,21;;;;;;
322,00;97,95;64,73;;;;;;
323,00;98,47;65,01;;;;;;
324,00;97,63;64,55;;;;;;
325,00;97,06;64,24;;;;;;
326,00;96,75;64,07;;;;;;
327,00;97,33;64,39;;;;;;
328,00;97,09;64,26;;;;;;
329,00;96,89;64,15;;;;;;
330,00;96,79;64,09;;;;;;
331,00;97,78;64,63;;;;;;
332,00;98,83;65,21;;;;;;
333,00;99,11;65,36;;;;;;
334,00;98,82;65,20;;;;;;
335,00;98,99;65,29;;;;;;
336,00;98,80;65,19;;;;;;
337,00;99,00;65,30;;;;;;
338,00;99,21;65,41;;;;;;
339,00;99,42;65,53;;;;;;
340,00;99,63;65,64;;;;;;
341,00;99,83;65,75;;;;;;
342,00;100,04;65,86;;;;;;
343,00;101,12;66,45;;;;;;
344,00;101,37;66,59;;;;;;
345,00;101,61;66,72;;;;;;
346,00;101,85;66,85;;;;;;
347,00;101,06;66,42;;;;;;
348,00;101,19;66,49;;;;;;
349,00;101,33;66,57;;;;;;
350,00;101,47;66,64;;;;;;
351,00;101,61;66,72;;;;;;
352,00;101,74;66,79;;;;;;
353,00;101,88;66,87;;;;;;
354,00;102,02;66,94;;;;;;
355,00;102,86;67,40;;;;;;
356,00;102,97;67,46;;;;;;
357,00;103,08;67,52;;;;;;
358,00;102,58;67,25;;;;;;
359,00;102,71;67,32;;;;;;
360,00;102,85;67,39;;;;;;
361,00;102,99;67,47;;;;;;
362,00;103,13;67,54;;;;;;
363,00;103,27;67,62;;;;;;
364,00;103,40;67,70;;;;;;
365,00;103,54;67,77;;;;;;
366,00;103,68;67,85;;;;;;
367,00;103,82;67,92;;;;;;
368,00;103,96;68,00;;;;;;
369,00;104,10;68,07;;;;;;
370,00;104,23;68,15;;;;;;
371,00;104,37;68,22;;;;;;
372,00;105,37;68,77;;;;;;
373,00;105,56;68,87;;;;;;
374,00;105,73;68,96;;;;;;
375,00;105,91;69,06;;;;;;
376,00;106,02;69,12;;;;;;
377,00;106,10;69,16;;;;;;
378,00;106,17;69,20;;;;;;
379,00;106,24;69,24;;;;;;
380,00;106,31;69,28;;;;;;
381,00;106,38;69,31;;;;;;
382,00;106,45;69,35;;;;;;
383,00;106,52;69,39;;;;;;
384,00;106,59;69,43;;;;;;
385,00;106,65;69,47;;;;;;
386,00;106,72;69,50;;;;;;
387,00;106,20;69,22;;;;;;
388,00;106,29;69,27;;;;;;
389,00;106,40;69,32;;;;;;
390,00;106,50;69,38;;;;;;
391,00;106,60;69,44;;;;;;
392,00;106,71;69,49;;;;;;
393,00;106,81;69,55;;;;;;
394,00;106,91;69,61;;;;;;
395,00;106,70;69,49;;;;;;
396,00;106,83;69,56;;;;;;
397,00;106,97;69,64;;;;;;
398,00;107,11;69,71;;;;;;
399,00;107,24;69,79;;;;;;
400,00;107,38;69,86;;;;;;
401,00;107,52;69,94;;;;;;
402,00;107,66;70,01;;;;;;
403,00;107,80;70,09;;;;;;
404,00;107,94;70,16;;;;;;
405,00;108,04;70,22;;;;;;
406,00;108,11;70,26;;;;;;
407,00;108,18;70,29;;;;;;
408,00;108,24;70,33;;;;;;
409,00;108,31;70,37;;;;;;
410,00;108,38;70,41;;;;;;
411,00;107,71;70,04;;;;;;
412,00;107,78;70,08;;;;;;
413,00;107,89;70,14;;;;;;
414,00;107,99;70,19;;;;;;
415,00;108,09;70,25;;;;;;
416,00;108,58;70,51;;;;;;
417,00;108,73;70,60;;;;;;
418,00;108,87;70,67;;;;;;
419,00;108,06;70,23;;;;;;
420,00;108,15;70,28;;;;;;
421,00;108,29;70,35;;;;;;
422,00;108,80;70,63;;;;;;
423,00;109,53;71,03;;;;;;
424,00;109,70;71,12;;;;;;
425,00;109,84;71,20;;;;;;
426,00;109,98;71,28;;;;;;
427,00;110,12;71,35;;;;;;
428,00;110,26;71,43;;;;;;
429,00;110,39;71,50;;;;;;
430,00;109,58;71,06;;;;;;
431,00;109,67;71,11;;;;;;
432,00;109,81;71,18;;;;;;
433,00;109,95;71,26;;;;;;
434,00;110,02;71,30;;;;;;
435,00;110,06;71,32;;;;;;
436,00;110,09;71,34;;;;;;
437,00;109,30;70,91;;;;;;
438,00;109,32;70,92;;;;;;
439,00;109,39;70,95;;;;;;
440,00;108,52;70,48;;;;;;
441,00;108,53;70,48;;;;;;
442,00;108,60;70,52;;;;;;
443,00;110,55;71,58;;;;;;
444,00;110,39;71,50;;;;;;
445,00;110,40;71,51;;;;;;
446,00;110,44;71,52;;;;;;
447,00;109,97;71,27;;;;;;
448,00;110,01;71,29;;;;;;
449,00;109,57;71,06;;;;;;
450,00;109,57;71,06;;;;;;
451,00;109,81;71,19;;;;;;
452,00;109,93;71,25;;;;;;
453,00;110,03;71,31;;;;;;
454,00;111,07;71,87;;;;;;
455,00;111,24;71,96;;;;;;
456,00;111,35;72,02;;;;;;
457,00;111,45;72,08;;;;;;
458,00;112,35;72,56;;;;;;
459,00;110,79;71,72;;;;;;
460,00;110,76;71,70;;;;;;
461,00;110,86;71,76;;;;;;
462,00;110,97;71,81;;;;;;
463,00;111,93;72,34;;;;;;
464,00;112,00;72,38;;;;;;
465,00;112,09;72,42;;;;;;
466,00;112,13;72,45;;;;;;
467,00;111,24;71,96;;;;;;
468,00;111,20;71,94;;;;;;
469,00;111,23;71,96;;;;;;
470,00;111,27;71,98;;;;;;
471,00;111,30;72,00;;;;;;
472,00;111,34;72,01;;;;;;
473,00;111,37;72,03;;;;;;
474,00;111,40;72,05;;;;;;
475,00;113,28;73,07;;;;;;
476,00;112,99;72,91;;;;;;
477,00;112,55;72,68;;;;;;
478,00;112,54;72,67;;;;;;
479,00;112,58;72,69;;;;;;
480,00;112,26;72,52;;;;;;
481,00;111,70;72,21;;;;;;
482,00;111,68;72,20;;;;;;
483,00;113,29;73,08;;;;;;
484,00;113,50;73,19;;;;;;
485,00;113,37;73,12;;;;;;
486,00;113,46;73,17;;;;;;
487,00;112,78;72,80;;;;;;
488,00;112,78;72,80;;;;;;
489,00;112,78;72,80;;;;;;
490,00;112,87;72,85;;;;;;
491,00;112,07;72,42;;;;;;
492,00;112,00;72,38;;;;;;
493,00;112,91;72,87;;;;;;
494,00;113,00;72,92;;;;;;
495,00;113,00;72,92;;;;;;
496,00;113,00;72,92;;;;;;
497,00;112,27;72,52;;;;;;
498,00;112,23;72,50;;;;;;
499,00;113,84;73,38;;;;;;
500,00;114,28;73,62;;;;;;
501,00;114,34;73,65;;;;;;
502,00;114,37;73,67;;;;;;
503,00;114,78;73,89;;;;;;
504,00;115,28;74,16;;;;;;
505,00;115,43;74,24;;;;;;
506,00;115,53;74,30;;;;;;
507,00;116,05;74,58;;;;;;
508,00;116,16;74,64;;;;;;
509,00;116,23;74,68;;;;;;
510,00;115,98;74,54;;;;;;
511,00;116,05;74,58;;;;;;
512,00;115,51;74,29;;;;;;
513,00;115,51;74,28;;;;;;
514,00;115,57;74,32;;;;;;
515,00;117,28;75,25;;;;;;
516,00;116,80;74,99;;;;;;
517,00;116,68;74,93;;;;;;
518,00;116,78;74,98;;;;;;
519,00;116,02;74,57;;;;;;
520,00;115,99;74,55;;;;;;
521,00;115,05;74,04;;;;;;
522,00;114,87;73,94;;;;;;
523,00;115,70;74,39;;;;;;
524,00;115,85;74,47;;;;;;
525,00;116,72;74,95;;;;;;
526,00;116,80;74,99;;;;;;
527,00;115,87;74,49;;;;;;
528,00;115,08;74,05;;;;;;
529,00;115,00;74,01;;;;;;
530,00;115,30;74,17;;;;;;
531,00;114,49;73,73;;;;;;
